300
BANDARSERIBEGAVA-AIZKARPATI 89:123
POLTAVA-MELBURNA 7:139
HOLIVUDA-MADEIRA 7:139
ELBRUSS-ALAUKSTS 139:7
ALAUKSTS-OSTRAVA 14:7
TRIESTE-ALAUKSTS 7:142
DORSETA-GLAZGOVA 7:144
FEODOSIJA-NUKUSU 145:7
MOLDOVA-RIODEORO 7:146
MORICSALA-SEVANS 7:15
SANHOSE-AVINJONA 7:150
MAPUTU-MONROVIJA 150:7
KANGARI-HAMBURGA 7:16
VENERS-MANHATANA 16:7
TRIESTE-EVERESTS 7:16
MELBURNA-LAPLATA 17:7
VAIVARI-MINESOTA 7:17
KEMEROVA-EIFRATA 19:7
VECSAULE-KALKUTA 7:20
BELFASTA-LAUDERI 7:24
SANHOSE-SARANSKA 26:7
JURBARKA-TOSMARE 7:29
GABORONE-PLIMUTA 30:7
VAIGUVA-PIEDRUJA 7:32
JAKUTSKA-HARKOVA 34:7
DINKERSA-KONAKRI 7:35
SIESARTE-KUZBASS 43:7
BENDERI-LISABONA 7:43
TAIMIRA-KARAKUMS 44:7
CIECERE-JAKUTSKA 44:7
JURBARKA-KANBERA 7:44
KALABRIJA-SALDUS 49:7
ANGARSKA-PLIMUTA 49:7
SASNAVA-USUMBURA 7:50
OKSFORDA-LIETUVA 54:7
INSBRUKA-LAUDERI 7:55
REINJORA-OSTRAVA 56:7
KALVARIJA-LIZUMS 57:7
TUKUMS-DORTMUNDA 58:7
DORTMUNDE-ATLASS 7:61
SALDUS-ZALCBURGA 61:7
KIROVSKA-BENDERI 7:64
IRKUTSKA-LIETUVA 67:7
KEMEROVA-BENDERI 68:7
SARAGOSA-OLSTERA 69:7
HARKOVA-REINJORA 7:69
ZLATOUSA-AIZPUTE 7:69
PANEMUNE-IVANOVA 71:7
BRJANSKA-SUMATRA 7:71
LIBREVILA-MAPUTU 7:73
VECSAULE-ELBRUSS 7:76
TAMPERE-INSBURGA 77:7
EVERESTS-LAUKUVA 77:7
DEMBAVA-MINESOTA 7:78
DONBASS-MELBURNA 7:79
KUVEITA-ZLATOUSA 8:7
GABORONE-KUNCEVA 81:7
KARAKUMS-BENDERI 7:86
OKSFORDA-SALANTA 87:7
LAUTERE-NEBRASKA 87:7
TAMPERE-BALATONS 7:9
HOPJORA-SKIEMONE 7:9
BORNMUTA-MEMFISA 7:92
TARENTO-OKSFORDA 7:94
DONBASS-VAGADUGU 96:7
KAMPIS-DORTMUNDA 98:7
NEBRASKA-TOLJATI 99:7
TBILISI-KZILORDA 70:100
EKVADORA-ENGELSA 102:70
SASNAVA-BORNMUTA 70:102
KINROSA-INSBRUKA 104:70
AIZPUTE-KARAKUMS 105:70
RAISKUMS-SASEKSA 70:108
BOSFORS-VECSAULE 110:70
DORTMUNDE-KAMPIS 70:110
NUKUSU-MORICSALA 70:111
NEBRASKA-DONBASS 112:70
MELARS-HONDURASA 70:114
KAVARSKA-DELTUVA 115:70
KUNCEVA-NEBRASKA 70:119
MINESOTA-KUVEITA 124:70
KAVARSKA-VAINUTA 126:70
ANGARSKA-LINKUVA 129:70
KARAKUMS-KANDAVA 130:70
TEKSASA-LABANOVA 70:132
SOVETSKA-KUNCEVA 133:70
REINJORA-KARPATI 133:70
VERAKRUSA-KANNAS 134:70
KOVROVA-ZLATOUSA 70:134
NEBRASKA-LAUDERI 70:135
OKINAVA-SARANSKA 70:136
BENDERI-DINKERSA 137:70
DORTMUNDA-SEVANS 70:138
DINKERSA-LIELUPE 70:140
HOPJORA-STAMBULA 142:70
UTREHTA-HONOLULU 143:70
MADEIRA-GABORONE 70:143
TOSMARE-BELFASTA 143:70
SIRDARJA-TAIMIRA 70:144
SANPAULU-LINKUVA 145:70
SINSITIJA-ALATAU 146:70
INSBRUKA-MADEIRA 70:149
GALGAUSKA-ALTAJS 70:150
PRIPETE-STAMBULA 71:70
DUBULTI-RAISKUMS 74:70
DENKERKA-IZMAIRA 70:75
LAPLATA-KIROVSKA 70:75
HOLIVUDA-POLTAVA 75:70
KOSTARIKA-OLIMPS 76:70
JELGAVA-VADAKSTE 70:77
VAIVARI-HAMBURGA 70:80
HONIARA-SARAGOSA 70:83
MELNUPE-PIEDRUJA 83:70
LECKAVA-ATABASKA 70:85
MASKAVA-BRJANSKA 70:86
VADAKSTE-OKINAVA 87:70
KAMPIS-PORTOVANA 90:70
TAUNUSA-BARNAULA 90:70
OLIMPS-ZVIEDRIJA 70:91
JAKUTSKA-DEMBAVA 93:70
ZLATOUSA-VORKUTA 70:95
VAIGUVA-SKIEMONE 70:96
BELFASTA-BENDERI 70:97
KRAKATAU-VORKUTA 70:97
KOVROVA-VECSAULE 70:98
BORNMUTA-MOLDOVA 100:71
INSBURGA-MELNUPE 71:100
IVANOVA-VAGADUGU 71:101
LAUDERI-MELBURNA 101:71
IRKUTSKA-KANBERA 71:103
VAGADUGU-KANGARI 71:103
TAUNUSA-PIEDRUJA 103:71
RAISKUMS-LAUTERE 71:103
HAMILTONA-KAMPIS 71:106
BARNAULA-GURJEVA 107:71
RINGUVA-ANGARSKA 71:111
VAIGUVA-IRKUTSKA 71:112
MAIKOPA-KARAKUMS 112:71
ALAUKSTS-DENVERA 71:117
SAMAVS-SALASPILS 71:118
HONOLULU-TAUNUSA 71:119
KARAKUMS-ELBRUSS 71:120
IRKUTSKA-VAIDAVA 120:71
SARAGOSA-KUVEITA 122:71
VARDURA-ALAUKSTS 123:71
ATLANTA-LISABONA 71:123
BALATONS-DEMBAVA 123:71
PEREKOPS-KANDAVA 123:71
VINDHUKA-GURJEVA 124:71
KUTAISI-VECSAULE 125:71
BEBRUSI-HOLIVUDA 126:71
AUGSBURGA-MELARS 71:127
KRAKATAU-LAUKUVA 128:71
MERGUPE-ESENTUKI 128:71
ORENBURGA-PAMIRS 71:129
SINTAUTI-TAIMIRA 71:132
KANBERA-VECSAULE 132:71
PLIMUTA-MINESOTA 71:137
ELBRUSS-KZILORDA 71:139
KALKUTA-KAVARSKA 71:141
MALJORKA-KANZASA 148:71
INSBURGA-TBILISI 149:71
ARARATS-REINJORA 71:150
DEMBAVA-REINJORA 71:72
OKSFORDA-MAIKOPA 71:74
KUMPOTE-PALEMONA 71:76
OKSFORDA-KANDAVA 76:71
CIECERE-VECSAULE 77:71
KRAKOVA-OKSFORDA 71:79
KIROVSKA-TAURUPE 71:81
SIRDARJA-ERFURTE 81:71
LAUTERE-EKVADORA 71:82
INSBURGA-MADEIRA 71:84
TAIMIRA-LUGANSKA 85:71
ESENTUKI-KANBERA 71:85
KANBERA-MELBURNA 86:71
VINDHUKA-DEMBAVA 89:71
ATLANTA-HAMBURGA 71:90
MASTIS-SINSITIJA 91:71
JELGAVA-GABORONE 71:92
ELBRUSS-BORNMUTA 92:71
KALABRIJA-MAPUTU 97:71
BARNAULA-TORONTO 71:98
ZLATOUSA-MADEIRA 72:100
VENERS-KRUSTPILS 72:101
TOSMARE-SARAGOSA 72:103
KANZASA-BALATONS 72:104
HOPJORA-KRAKATAU 104:72
MACESTA-MELBURNA 72:104
PEREKOPS-TAIMIRA 107:72
VAIDAVA-SIESARTE 72:111
KUVEITA-SINTAUTI 112:72
ERFURTE-DINKERSA 72:113
PRIPETE-KEMEROVA 72:113
KAHOVSKA-RUSTAVI 113:72
RAISKUMS-TAURUPE 72:116
SKIEMONE-DENVERA 118:72
KANNAS-FEODOSIJA 118:72
VEZUVS-KRUSTPILS 72:119
DORTMUNDE-VENERS 72:119
MORICSALA-KAMPIS 72:120
LUGANSKA-VARDURA 72:120
EKVADORA-HARKOVA 121:72
GLAZGOVA-AIZPUTE 125:72
BARNAULA-KUPRAVA 125:72
KRUSTPILS-INESIS 126:72
VADAKSTE-SANHOSE 72:127
LAPLATA-HAMBURGA 72:129
MALJORKA-OKINAVA 130:72
MINESOTA-LECKAVA 131:72
BALATONS-KARPATI 131:72
JURBARKA-UTREHTA 132:72
RUSTAVI-BORNMUTA 72:133
ENGELSA-REINJORA 72:133
GABORONE-ELBRUSS 134:72
SARANSKA-RUSTAVI 134:72
HOPJORA-SIRDARJA 137:72
JURBARKA-MANAGVA 140:72
DAUGAVA-AMUDARJA 72:144
PRIEKULE-KAUNATA 72:146
BREDFORDA-OLIMPS 147:72
KUPRAVA-BRJANSKA 72:149
INSBURGA-DONBASS 150:72
ERFURTE-INSBURGA 72:73
KUNCEVA-JURBARKA 72:73
LABANOVA-TAMPERE 75:72
ALEKSOTA-VAINUTA 76:72
TOSMARE-JAKUTSKA 79:72
TBILISI-LUGANSKA 79:72
INSBRUKA-DENVERA 72:79
KRAKOVA-REINJORA 72:79
ZALCBURGA-PAMIRS 72:80
MASTIS-VALENSIJA 87:72
RUSTAVI-LISABONA 72:87
SANPAULU-OKINAVA 89:72
KAUNATA-SKIEMONE 72:95
MELNUPE-NEBRASKA 99:72
HONOLULU-KUNCEVA 100:73
DUBULTI-KZILORDA 73:100
KEMEROVA-KUZBASS 102:73
ATLANTA-AMUDARJA 73:103
PEREKOPS-ELBRUSS 103:73
TAUNUSA-ATABASKA 103:73
KARPATI-KZILORDA 73:104
LABANOVA-TBILISI 105:73
SALANTA-PALEMONA 73:105
REINJORA-TEKSASA 106:73
SASEKSA-SARANSKA 108:73
HAMBURGA-MADRASA 108:73
KRAKOVA-VINDHUKA 73:110
AMUDARJA-SASEKSA 112:73
KZILORDA-LINKUVA 113:73
BENDERI-LABANOVA 73:113
KALVARIJA-KANNAS 120:73
SARAGOSA-KAUNATA 121:73
OKSFORDA-KATVARI 123:73
DORSETA-VINDHUKA 124:73
KIROVSKA-PLIMUTA 124:73
PLIMUTA-KZILORDA 73:127
ROSTOVA-STAMBULA 73:127
TEKSASA-PANEMUNE 128:73
MASKAVA-SANPAULU 73:131
SIRDARJA-MERGUPE 73:133
SASEKSA-JURBARKA 73:134
PALEMONA-TRIESTE 136:73
LECKAVA-KAHOVSKA 73:137
ERFURTE-SARAGOSA 73:138
LIBREVILA-PAMIRS 73:139
LAUDERI-DENKERKA 141:73
BARNAULA-OSTRAVA 144:73
ROSTOVA-BALATONS 73:145
KARAKUMS-VAIVARI 73:145
SOVETSKA-TOSMARE 73:148
KATVARI-SARANSKA 149:73
STAMBULA-KUZBASS 73:74
PIEDRUJA-JELGAVA 75:73
KALKUTA-SOVETSKA 73:75
POLTAVA-ESENTUKI 73:76
LISABONA-KUTAISI 78:73
MINESOTA-MAIKOPA 79:73
IVANOVA-USUMBURA 73:80
EIFRATA-NEBRASKA 73:80
ESENTUKI-IZMAIRA 73:82
NIAGARA-VECSAULE 84:73
ENGELSA-PEREKOPS 73:87
SUMATRA-AVINJONA 73:88
BIZERTA-ATABASKA 73:90
KANNAS-BELOSTOKA 91:73
DONBASS-PANEMUNE 91:73
SANPAULU-MOLDOVA 96:73
RIETAVA-ANGARSKA 73:96
GURJEVA-BELFASTA 73:97
TEKSASA-VADAKSTE 98:73
TEKSASA-SIRDARJA 74:101
RIODEORO-TEKSASA 104:74
TAURUPE-VAGADUGU 106:74
KUTAISI-GLAZGOVA 74:110
BIZERTA-DENKERKA 74:110
MACESTA-SIRDARJA 74:113
ROSTOVA-ALAUKSTS 74:114
BORNMUTA-KINROSA 74:114
GALGAUSKA-ALATAU 74:115
VAGADUGU-LECKAVA 115:74
VAIVARI-BELFASTA 117:74
SOVETSKA-MANAUSA 74:118
BRJANSKA-LAPLATA 118:74
PEREKOPS-MOLDOVA 118:74
HONOLULU-HOPJORA 74:118
HOPJORA-PRIEKULE 119:74
GABORONE-ENGELSA 120:74
KRUSTPILS-MASTIS 122:74
ALEKSOTA-SASEKSA 123:74
KANDAVA-EKVADORA 74:123
KANGARI-INSBRUKA 123:74
MALNAVA-JURBARKA 74:124
TAMPERE-SIRDARJA 125:74
MELARS-LUCAVSALA 126:74
DENKERKA-SASEKSA 126:74
HONOLULU-TAURUPE 74:128
PALEMONA-MADRASA 135:74
LIZUMS-KULAUTUVA 137:74
AIZPUTE-BORNMUTA 138:74
LISABONA-KALKUTA 143:74
ALEKSOTA-TAURUPE 144:74
HARKOVA-DINKERSA 74:144
RIODEORO-OSTRAVA 147:74
LAUDERI-STAMBULA 148:74
VAINUTA-BARNAULA 148:74
DONBASS-MINESOTA 74:75
LAPLATA-REINJORA 74:76
ATLANTA-USUMBURA 78:74
KARAKUMS-PEIPUSS 74:81
DENVERA-AVINJONA 74:82
KAMPIS-TERNOPOLE 74:86
GURJEVA-KZILORDA 74:88
USUMBURA-MADEIRA 74:91
LUGANSKA-VAIVARI 74:91
LAPLATA-JURBARKA 74:92
MIASURA-PIEDRUJA 94:74
HONOLULU-TORONTO 74:96
KEMEROVA-MALNAVA 96:74
HARKOVA-JURBARKA 74:96
VORKUTA-ALAUKSTS 74:97
LIELUPE-BALATONS 74:97
RIETAVA-STAMBULA 74:98
DUBULTI-SIESARTE 74:99
IRKUTSKA-KUTAISI 74:99
SANPAULU-DENVERA 75:100
BARTUVA-KRAKATAU 75:101
LISABONA-VAIDAVA 104:75
PANEMUNE-KONAKRI 75:106
KRAKATAU-ATLANTA 75:106
SIESARTE-IZMAIRA 75:108
BALATONS-SALANTA 109:75
ZLATOUSA-ANADIRA 75:109
MELARS-ORENBURGA 110:75
BORNMUTA-ENGELSA 75:111
ATABASKA-LAPLATA 113:75
INSBRUKA-TARENTO 75:113
BEBRUSI-KZILORDA 75:117
VAIVARI-DINKERSA 119:75
TAURUPE-PALEMONA 75:124
TAMPERE-BARNAULA 124:75
KALVARIJA-MASTIS 125:75
ZLATOUSA-TAUNUSA 75:125
EVERESTS-MACESTA 125:75
PALEMONA-DAUGAVA 129:75
DAUGAVA-SOVETSKA 75:129
VAIVARI-STAMBULA 130:75
SUMATRA-ESENTUKI 132:75
BELFASTA-MOLDOVA 132:75
KEMEROVA-TRIESTE 132:75
MELNUPE-GLAZGOVA 75:135
HARKOVA-KZILORDA 75:139
BEIRUTA-KEMEROVA 75:142
USUMBURA-MEMFISA 75:144
HONOLULU-ANADIRA 75:145
OLSTERA-PANEMUNE 149:75
GLAZGOVA-BENDERI 149:75
OKSFORDA-KINROSA 150:75
ZALCBURGA-VEZUVS 75:76
MOLDOVA-PRIEKULE 75:77
KANZASA-SARANSKA 77:75
JURBARKA-EIFRATA 78:75
INSBRUKA-RUSTAVI 79:75
ZALCBURGA-SAMAVS 75:81
REDRIVERA-VENERS 75:83
KUZBASS-BRJANSKA 75:84
MINESOTA-DORSETA 85:75
PANEMUNE-MOLDOVA 85:75
AMUDARJA-MADEIRA 75:86
ELBRUSS-SANPAULU 88:75
ROSTOVA-SIRDARJA 75:88
HAMBURGA-KRAKOVA 92:75
NEBRASKA-SASEKSA 75:93
BALATONS-DORSETA 93:75
BELGORODA-LIZUMS 94:75
ESENTUKI-CIECERE 75:95
BRJANSKA-MEMFISA 75:96
ERFURTE-EKVADORA 75:97
EVERESTS-ROSTOVA 98:75
BARTUVA-VADAKSTE 75:98
TAGANROGA-PELTES 101:76
SANPAULU-HONIARA 76:102
SANPAULU-KAUNATA 76:103
ALTAJS-REDRIVERA 103:76
HONIARA-VADAKSTE 105:76
GLAZGOVA-KUVEITA 111:76
TAURUPE-BALATONS 76:111
SALDUS-FEODOSIJA 117:76
HONOLULU-MADEIRA 76:120
VAINUTA-EKVADORA 76:120
EIFRATA-VINDHUKA 123:76
SARAGOSA-MADEIRA 123:76
NOVGORODA-ALTAJS 124:76
KANGARI-DENKERKA 124:76
ZLATOUSA-VALLETA 76:125
ALEKSOTA-ENGELSA 127:76
ALAUKSTS-ARARATS 130:76
BRAZAVILA-VENERS 76:132
ELBRUSS-LUGANSKA 76:132
VEZUVS-SALASPILS 76:136
KINROSA-DENKERKA 76:139
ESENTUKI-ELBRUSS 76:139
LABANOVA-LINKUVA 139:76
LUCAVSALA-KAMPIS 76:142
OLSTERA-HONOLULU 143:76
OKSFORDA-KUPRAVA 145:76
RAISKUMS-KINROSA 76:77
LABANOVA-LAPLATA 83:76
PORTORIKO-VENERS 91:76
ALEKSOTA-TOSMARE 92:76
PANEMUNE-KOVROVA 93:76
MANAGVA-MINESOTA 76:94
KORDOVA-BELFASTA 76:96
REINJORA-TBILISI 96:76
LAUDERI-ATABASKA 97:76
HOPJORA-IRKUTSKA 98:76
VORKUTA-OKSFORDA 77:100
TAUNUSA-VINDHUKA 100:77
HARKOVA-VAGADUGU 77:102
FOLRIVERA-NUKUSU 77:103
USUMBURA-LAPLATA 77:105
EKVADORA-UTREHTA 105:77
SANPAULU-ARARATS 77:106
SKIEMONE-TAIMIRA 107:77
DEMBAVA-INSBURGA 77:108
JELGAVA-STAMBULA 77:111
GLAZGOVA-TARENTO 111:77
TEKSASA-HONOLULU 112:77
VINDHUKA-HARKOVA 112:77
DENKERKA-TAMBOVA 113:77
ALEKSOTA-EIFRATA 114:77
DORTMUNDA-SAMAVS 77:116
KUMPOTE-BRJANSKA 77:117
POLTAVA-SARAGOSA 77:118
SASEKSA-KZILORDA 77:119
KINROSA-IRKUTSKA 120:77
RUSTAVI-MINESOTA 77:123
INSBURGA-KUNCEVA 127:77
CIECERE-BRJANSKA 128:77
MAIKOPA-VINDHUKA 129:77
VENTSPILS-VENERS 131:77
VENERS-KINGSTONA 133:77
ZLATOUSA-KONAKRI 77:133
SIESARTE-DEMBAVA 133:77
VAINUTA-BORNMUTA 133:77
HOLIVUDA-DENVERA 77:134
TAMBOVA-PIEDRUJA 77:135
ATABASKA-SANHOSE 77:137
ALTAJS-HAMILTONA 137:77
ANGARSKA-ELBRUSS 140:77
LABANOVA-IZMAIRA 141:77
TERNOPOLE-MASTIS 141:77
LAUKUVA-EKVADORA 77:144
ANGARSKA-MANAUSA 77:144
INESIS-HAMILTONA 145:77
PORTOVANA-KANNAS 77:146
REINJORA-MOLDOVA 146:77
OSTRAVA-AVINJONA 77:78
TORONTO-KZILORDA 77:79
HARKOVA-LISABONA 77:80
KANGARI-DINKERSA 80:77
GLAZGOVA-CIECERE 80:77
SINTAUTI-KUNCEVA 83:77
KUZBASS-PANEMUNE 91:77
DENKERKA-MACESTA 91:77
LINKUVA-PIEDRUJA 77:92
KORDOVA-ESENTUKI 77:94
INSBRUKA-BARTUVA 95:77
BARTUVA-SKIEMONE 77:97
LINKUVA-BELFASTA 77:97
KZILORDA-KUZBASS 99:77
LUCAVSALA-KANNAS 77:99
MINESOTA-MADRASA 100:78
EVERESTS-BOSFORS 78:105
MEMFISA-IRKUTSKA 105:78
STAMBULA-KUTAISI 78:106
KUVEITA-JAKUTSKA 78:107
PELTES-PORTOVANA 109:78
KRAKATAU-KANBERA 78:111
MELBURNA-RUSTAVI 112:78
SEVANS-SKAGERAKS 78:114
KIROVSKA-TRIESTE 115:78
HONOLULU-KUMPOTE 78:115
SANPAULU-SALANTA 78:115
VAGADUGU-BOSFORS 78:116
SKAUDVILE-TUKUMS 78:117
ANGARSKA-TAMPERE 78:118
LIETUVA-NEBRASKA 78:119
BREDFORDA-MELARS 121:78
VENERS-PRETORIJA 78:124
PALEMONA-TOLJATI 130:78
KZILORDA-RINGUVA 131:78
LIETUVA-PANEMUNE 78:134
JELGAVA-JURBARKA 78:135
USUMBURA-TOLJATI 78:141
SOVETSKA-KINROSA 78:143
ELBRUSS-SARAGOSA 78:144
MERGUPE-SANPAULU 144:78
VAGADUGU-VALLETA 78:145
ELBRUSS-BRJANSKA 78:146
KONAKRI-REINJORA 78:146
BRJANSKA-KUNCEVA 147:78
BALATONS-TRIESTE 148:78
KARPATI-INSBURGA 78:150
TAURUPE-MINESOTA 78:80
MASKAVA-KEMEROVA 78:80
GABORONE-TAMPERE 84:78
PEREKOPS-OLSTERA 89:78
HOPJORA-ALAUKSTS 89:78
MAIKOPA-KRAKATAU 90:78
BARNAULA-LECKAVA 91:78
HOLIVUDA-TOLJATI 78:92
MACESTA-LABANOVA 78:93
PALEMONA-PEIPUSS 93:78
HOLIVUDA-ANADIRA 78:95
LIZUMS-PORTORIKO 78:95
EIFRATA-AVINJONA 78:96
REINJORA-VAIGUVA 97:78
VINDHUKA-TOLJATI 78:97
JELGAVA-ALEKSOTA 79:103
SENTLUISA-VENERS 79:105
JURBARKA-TOLJATI 106:79
ALEKSOTA-KANGARI 106:79
MANHATANA-OLIMPS 79:107
HAMBURGA-HOPJORA 79:109
AMUDARJA-PEIPUSS 111:79
TARENTO-ATABASKA 79:111
LAUTERE-MINESOTA 79:117
USUMBURA-MASKAVA 121:79
SIRDARJA-KRAKOVA 122:79
LUGANSKA-SASEKSA 79:123
MADEIRA-BRJANSKA 123:79
JAKUTSKA-OSTRAVA 124:79
LAUDERI-PRIEKULE 131:79
EVERESTS-TAUNUSA 79:131
DINKERSA-BOSFORS 79:132
AIZPUTE-SARAGOSA 79:132
AVINJONA-KARPATI 133:79
SASEKSA-ZLATOUSA 134:79
IRKUTSKA-BEIRUTA 135:79
MERGUPE-USUMBURA 137:79
DEMBAVA-VAGADUGU 79:138
JURBARKA-PLIMUTA 138:79
BARNAULA-KUMPOTE 79:140
HONOLULU-OKINAVA 141:79
MANAGVA-PALEMONA 79:145
RAISKUMS-MADEIRA 79:148
USUMBURA-LINKUVA 149:79
LUGANSKA-LAPLATA 150:79
TAMBOVA-SKIEMONE 79:80
RIETAVA-NEBRASKA 79:81
PITSBURGA-ALTAJS 79:83
HAMBURGA-VALLETA 84:79
MALNAVA-ATABASKA 79:85
KOVROVA-BRJANSKA 79:87
OKSFORDA-SANHOSE 89:79
HONDURASA-ATLASS 89:79
KINROSA-LABANOVA 79:91
HONOLULU-KRAKOVA 91:79
REINJORA-TAIMIRA 93:79
JAKUTSKA-DAUGAVA 94:79
KUNCEVA-RAISKUMS 79:95
ZLATOUSA-BARTUVA 95:79
TAIMIRA-BORNMUTA 99:79
RAISKUMS-KANBERA 79:99
VINDHUKA-BEBRUSI 8:10
DORSETA-ANGARSKA 8:10
HARKOVA-STAMBULA 8:10
KAHOVSKA-MANAGVA 102:8
MAPUTU-HAMILTONA 8:103
VAIDAVA-VADAKSTE 8:105
KAHOVSKA-KATVARI 8:105
SIRDARJA-VALLETA 107:8
MADRASA-VECSAULE 108:8
MELBURNA-BENDERI 8:113
VAIVARI-PALEMONA 8:118
RIODEORO-LAPLATA 12:8
HARKOVA-HAMBURGA 8:124
DEMBAVA-BELFASTA 8:125
ALATAU-BELOSTOKA 8:125
POLTAVA-SARANSKA 8:126
VENERS-GALGAUSKA 127:8
BARNAULA-SANHOSE 8:130
TEKSASA-KAVARSKA 130:8
INSBURGA-PEIPUSS 130:8
PRIPETE-LISABONA 8:133
LUGANSKA-SUMATRA 8:134
OSTRAVA-MALJORKA 8:138
KOVROVA-JURBARKA 8:140
ATLASS-EDINBURGA 141:8
BORNMUTA-VAIVARI 8:143
KAHOVSKA-TAUNUSA 8:143
JURBARKA-SANHOSE 143:8
VADAKSTE-BEIRUTA 145:8
RUSTAVI-KEMEROVA 8:148
SINTAUTI-SANHOSE 8:15
SAMAVS-HAMILTONA 15:8
AVINJONA-TARENTO 16:8
KULAUTUVA-ATLASS 8:16
OKSFORDA-HOPJORA 8:18
SALANTA-MELBURNA 8:21
LAUKUVA-BALATONS 8:21
PLIMUTA-MALJORKA 8:24
LIELUPE-AVINJONA 8:27
ORENBURGA-KAMPIS 8:27
JAKUTSKA-TAMPERE 8:31
KANDAVA-GLAZGOVA 8:31
SKIEMONE-KRAKOVA 35:8
SARAGOSA-VAIDAVA 36:8
DINKERSA-VAIDAVA 36:8
OSTRAVA-PANEMUNE 8:38
PANEMUNE-EIFRATA 8:40
SEVANS-FEODOSIJA 41:8
TOSMARE-SIRDARJA 42:8
AVINJONA-BEIRUTA 42:8
INSBURGA-RINGUVA 42:8
MELNUPE-KARAKUMS 43:8
SAMAVS-EDINBURGA 49:8
KRAKATAU-IVANOVA 50:8
TERNOPOLE-SEVANS 50:8
SIESARTE-BEBRUSI 52:8
KALABRIJA-MASTIS 52:8
SALANTA-PANEMUNE 52:8
ATLASS-MONROVIJA 53:8
MADEIRA-KIROVSKA 53:8
LAUTERE-HAMBURGA 54:8
ALTAJS-PORTORIKO 8:57
KINROSA-AVINJONA 8:57
LIELUPE-IRKUTSKA 58:8
AVINJONA-KUTAISI 62:8
BENDERI-VINDHUKA 62:8
LIELUPE-LABANOVA 8:63
KZILORDA-KUTAISI 65:8
DEMBAVA-KARAKUMS 8:66
TUKUMS-MONROVIJA 66:8
BALATONS-MEMFISA 69:8
PRIEKULE-VORKUTA 8:69
SARANSKA-PRIPETE 69:8
SARAGOSA-LIETUVA 72:8
AMUDARJA-MASKAVA 72:8
MACESTA-BARNAULA 74:8
MAIKOPA-HAMBURGA 75:8
SKAGERAKS-INESIS 76:8
PANEMUNE-ENGELSA 8:76
MELBURNA-VARDURA 8:79
KUNCEVA-MALJORKA 8:79
SARAGOSA-SANHOSE 83:8
NEBRASKA-ENGELSA 8:84
ANGARSKA-EIFRATA 85:8
TAIMIRA-DINKERSA 85:8
ALATAU-LIBREVILA 87:8
BENDERI-BARNAULA 87:8
EVERESTS-PLIMUTA 88:8
DENKERKA-KRAKOVA 89:8
KORDOVA-LABANOVA 8:9
JAKUTSKA-TORONTO 9:8
TORONTO-SIRDARJA 8:90
KINGSTONA-ALATAU 91:8
KOVROVA-BORNMUTA 8:91
SAMAVS-PITSBURGA 92:8
OKSFORDA-MIASURA 8:93
AVINJONA-OKINAVA 99:8
EDINBURGA-SALDUS 80:104
DINKERSA-KUTAISI 111:80
ERFURTE-MALJORKA 80:112
LIETUVA-REINJORA 80:117
BEIRUTA-INSBURGA 80:118
DORTMUNDE-SAMAVS 80:118
PANEMUNE-SANHOSE 80:122
OKSFORDA-CIECERE 124:80
MALJORKA-VAIVARI 80:124
DEMBAVA-AVINJONA 80:126
SALASPILS-INESIS 128:80
PALEMONA-KUPRAVA 128:80
KRAKATAU-CIECERE 80:128
BORNMUTA-KUVEITA 80:129
RAISKUMS-TAUNUSA 80:130
SAMAVS-KALVARIJA 80:132
OKSFORDA-VAIGUVA 132:80
GLAZGOVA-RIETAVA 133:80
VEZUVS-PRETORIJA 80:134
ALAUKSTS-DUBULTI 135:80
KALKUTA-RAISKUMS 136:80
MANHATANA-NUKUSU 136:80
DORSETA-DENKERKA 80:137
ESENTUKI-KUPRAVA 138:80
SANPAULU-KUNCEVA 144:80
VAIGUVA-INSBURGA 80:145
KALABRIJA-ELTONS 146:80
INESIS-PITSBURGA 148:80
PANEMUNE-LAPLATA 80:150
VAIDAVA-MELBURNA 80:150
ALEKSOTA-DENVERA 150:80
LAPLATA-ALEKSOTA 80:81
IVANOVA-REINJORA 80:84
LIBREVILA-ELTONS 80:84
MENHETENA-MASTIS 80:85
OKSFORDA-KUTAISI 88:80
LAUTERE-LABANOVA 80:89
DUBULTI-SARANSKA 80:90
LAUDERI-KIROVSKA 92:80
PELTES-SKAUDVILE 93:80
DAUGAVA-ESENTUKI 80:93
LIETUVA-JAKUTSKA 80:94
KARPATI-PALEMONA 80:95
KEMEROVA-MEMFISA 101:81
VARDURA-AMUDARJA 103:81
KANBERA-SKIEMONE 81:103
PRIEKULE-KALKUTA 81:103
LUGANSKA-RUSTAVI 103:81
SKIEMONE-LINKUVA 103:81
DINKERSA-SUMATRA 81:105
AVINJONA-KANGARI 105:81
KRAKOVA-DINKERSA 81:106
HAMBURGA-SANHOSE 106:81
VEZUVS-TAGANROGA 81:107
KRAKATAU-ERFURTE 109:81
ATABASKA-KUZBASS 111:81
EVERESTS-KANBERA 81:112
MADRASA-GABORONE 81:113
SARAGOSA-KUPRAVA 114:81
HARKOVA-SIESARTE 81:115
LAUKUVA-KAVARSKA 81:115
JELGAVA-PANEMUNE 81:119
MANAGVA-MELBURNA 81:119
DORTMUNDE-LIZUMS 81:124
MOLDOVA-SARANSKA 81:124
INSBRUKA-AIZPUTE 81:126
