300
VENERS-TAGANROGA 8:94
RAUDONE-GALIPOLE 94:8
HAMBURGA-ALUKSNE 8:94
HAVANNA-KEMEROVA 98:8
AVINJONA-POCIEMS 8:99
KEMEROVA-HONIARA 99:8
MELBURNA-LONDONA 80:101
BOSFORS-FERMENTA 80:102
LONDONA-EKVADORA 103:80
MANITOBA-MINHENE 80:103
PORTORIKO-PELTES 104:80
HONIARA-FLORENCE 80:105
BRISTOLE-KATVARI 106:80
BELMANTA-TAIVANA 80:106
EKVADORA-KALVENE 80:111
BABRUNGA-ZENTENE 80:112
GABORONE-BEBRENE 80:114
MALJORKA-TAIZEME 80:114
LOTRINGA-LUCERNA 80:115
LUCERNA-KAZDANGA 117:80
VERMONTA-LONDONA 80:121
ALUKSNE-REINJORA 123:80
LOKARNA-MALJORKA 130:80
JITLANDE-ZAMBEZI 80:134
GALIPOLE-PILTENE 80:136
BABRUNGA-LONDONA 80:138
KANGARI-HONKONGA 80:138
OKLAHOMA-LAZDONA 80:140
BELMANTA-KANBERA 142:80
TAIMIRA-RADOPOLE 80:144
DINKERSA-KARTENA 80:148
BANDUNGA-NANKINA 80:149
SALVANA-INSBURGA 150:80
NANKINA-SIRDARJA 84:80
MELBURNA-VAIVARI 80:85
KZILORDA-ALUKSNE 80:85
KRETINGA-KAPZEME 80:85
BEBRENE-LOTRINGA 87:80
BOSTONA-EKVADORA 87:80
SEVERNA-PALEMONA 93:80
MUKDENA-LOTRINGA 93:80
KUNLUNS-MINESOTA 95:80
MADEIRA-PALEMONA 80:97
BOSFORS-JITLANDE 80:97
GLAZGOVA-BOSFORS 98:80
HAMBURGA-BEBRENE 80:99
DENKERKA-PLATONE 80:99
DINKERSA-BENGAZI 81:100
CEILONA-SARAGOSA 102:81
TAURUPE-JOKOHOMA 81:106
MANITOBA-POCIEMS 81:108
AMUDARJA-BOSTONA 81:109
KOSTROMA-KANBERA 112:81
HARBINA-RIODEORO 114:81
FERMENTA-ABADANA 81:115
NIAGARA-ALEKSOTA 81:115
SALIENA-MINESOTA 117:81
KONAKRI-KORNVOLA 81:118
VESTENDE-TAIVANA 81:119
BABRUNGA-KANBERA 120:81
LAZDONA-BANDUNGA 120:81
BALDONE-KATMANDU 81:121
RAVENNA-HONKONGA 124:81
SAPORO-VENTSPILS 129:81
UKRAINA-HONKONGA 132:81
AMUDARJA-KANTONA 81:133
VEZUVS-TERNOPOLE 81:133
HONKONGA-POCIEMS 81:135
TAIVANA-MANITOBA 136:81
ARAGONA-KORNVOLA 139:81
JITLANDE-AMAZONE 140:81
BELMANTA-MIASURA 141:81
DINKERSA-RAUDONE 81:142
HERSONA-AMUDARJA 142:81
KANNAS-SALASPILS 81:147
RAVENNA-BABRUNGA 148:81
ATLASS-KRUSTPILS 81:150
JOKOHOMA-BENGAZI 81:150
PALERMO-KEMEROVA 82:81
TALLINA-INSBURGA 82:81
LITLROKA-RAVENNA 81:84
NIAGARA-KORNVOLA 81:84
HONIARA-TURMANTA 81:84
TAIVANA-MALJORKA 86:81
KORNVOLA-TALLINA 81:92
ZVIEDRIJA-MALABO 81:93
TRAPENE-AVINJONA 96:81
HUDZONA-DENKERKA 97:81
VENTSPILS-BAMAKO 82:100
EGLAINE-MALJORKA 101:82
ARIZONA-HAMBURGA 105:82
BABRUNGA-MAIKOPA 105:82
HAMBURGA-HUDZONA 82:106
VALGUNDE-KATVARI 110:82
JITLANDE-PUMPENI 110:82
BORNEO-CINCINATI 82:111
BABRUNGA-PALERMO 82:113
SIESARTE-KAPZEME 82:114
JOKOHOMA-SLOCENE 82:115
MAKENZI-REINJORA 115:82
MELBURNA-MBABANE 82:117
TAURUPE-OKLAHOMA 82:118
BUFALO-PORTONOVA 82:119
LIVORNA-RIODEORO 119:82
EGLAINE-JANOPOLE 123:82
BANDUNGA-MEISENE 82:123
MALJORKA-VAIVARI 82:124
ALEKSOTA-TAMPERE 125:82
HELSINKI-OREGONA 82:126
HONIARA-HONKONGA 82:126
HAMBURGA-LUCERNA 82:127
LISABONA-SALIENA 82:129
NOVGORODA-ALTAJS 130:82
IZMAIRA-LOTRINGA 82:133
CEILONA-DENKERKA 135:82
DEMOINA-BELMANTA 136:82
PEREKOPS-OREGONA 82:140
PAMIRS-KALVARIJA 82:142
KEMEROVA-USTRONE 82:143
PEREKOPS-LAZDONA 82:143
BUFALO-PRETORIJA 145:82
MINDANAO-DURBANA 82:145
KOSTROMA-ABAKANA 82:146
MEISENE-DINKERSA 148:82
MAKENZI-RADOPOLE 148:82
VERMONTA-HERSONA 82:150
VESTENDE-LOZANNA 82:150
BALTIMORA-VEZUVS 87:82
BORNHOLMA-SEVANS 87:82
SORBONNA-DEMOINA 82:91
TOSMARE-BRISTOLE 82:91
HOPJORA-HONKONGA 82:95
SEVANS-BALTIMORA 83:101
TOSMARE-OKSFORDA 83:104
VALGUNDE-BERGENA 83:104
LABANOVA-DEMOINA 83:105
KROIDONA-PUMPENI 83:105
DINKERSA-DUBLINA 83:107
KOSTARIKA-VEZUVS 108:83
HONKONGA-DENVERA 108:83
KAZDANGA-MAIKOPA 108:83
MELBURNA-LAUDERI 83:109
BALATONS-HARBINA 83:110
PRETORIJA-ELTONS 111:83
KANTONA-GOTLANDE 112:83
POCIEMS-MINDANAO 112:83
ABAKANA-DENKERKA 112:83
PALEMONA-KANGARI 115:83
GALIPOLE-MADEIRA 116:83
STOMBOLI-LIELUPE 117:83
TALLINA-GOTLANDE 117:83
ZENTENE-JOKOHOMA 120:83
KAJENNA-DOTMUNDA 123:83
PILZENE-NIKOPOLE 125:83
LAZDONA-SARAGOSA 126:83
RAVENNA-FLORENCE 129:83
CEILONA-SORBONNA 130:83
RADOPOLE-DURBANA 83:132
VIKTORIJA-MALABO 83:133
GUBERNIJA-MEHIKO 134:83
GABORONE-HONIARA 134:83
OKLAHOMA-KATVARI 138:83
PEREKOPS-LOZANNA 83:139
ZAMBEZI-BANGKOKA 144:83
KAZDANGA-PALERMO 83:144
DURBANA-DOTMUNDA 146:83
OREGONA-MALJORKA 148:83
FERMENTA-PEDEDZE 83:149
ALEKSOTA-KANBERA 84:83
GOTLANDE-OGLAINE 91:83
LOZANNA-JANOPOLE 94:83
ZAMBEZI-LISABONA 94:83
ALUKSNE-PEREKOPS 95:83
MONAKO-FLANDRIJA 97:83
DENKERKA-OGLAINE 83:97
GALIPOLE-BERGENA 83:97
MALJORKA-MERGUPE 84:100
NANKINA-ALEKSOTA 104:84
AVINJONA-HARBINA 84:106
SKAGERAKS-MASTIS 108:84
CINCINATI-VEZUVS 109:84
USTRONE-KOSTROMA 109:84
EGLAINE-KAZDANGA 110:84
SUMATRA-DINKERSA 117:84
GARONNA-LABANOVA 117:84
ZENTENE-VALGUNDE 84:119
ARAGONA-BANDUNGA 123:84
SKIEMONE-PEDEDZE 84:123
GUBERNIJA-BILBAO 127:84
KORNVOLA-LIVORNA 84:127
RAVENNA-TURMANTA 127:84
OLSTERA-TURMANTA 84:127
RAVENNA-LABANOVA 130:84
KRETINGA-HUDZONA 84:130
TURMANTA-SUMATRA 133:84
BELMANTA-DAIVANA 84:136
VAIVARI-KROIDONA 84:138
MELBURNA-ANADIRA 84:140
TRAPENE-DOTMUNDA 84:140
AMUDARJA-MERGUPE 84:143
SALVANA-KZILORDA 143:84
OLIMPS-PRETORIJA 84:143
KZILORDA-ANADIRA 84:144
KAZDANGA-KATVARI 145:84
RIODEORO-KATVARI 146:84
SARAGOSA-VERDENA 84:146
BOSFORS-SORBONNA 84:147
KAZDANGA-KARTENA 84:148
KALJAO-PORTSMUTA 84:150
PEREKOPS-OLSTERA 150:84
KATMANDU-VARDURA 85:84
VEZUVS-TIRASPOLE 84:87
SUMATRA-AMUDARJA 87:84
ARAGONA-DENKERKA 88:84
VALGUNDE-HOPJORA 88:84
FERMENTA-SAIGONA 84:91
OLSTERA-KZILORDA 97:84
ZAMBEZI-FLORENCE 98:84
SIESARTE-MIASURA 84:99
JANOPOLE-VARDURA 100:85
ZAMBEZI-OKSFORDA 101:85
BRISTOLE-DUBLINA 85:105
KORNVOLA-NANKINA 85:106
ABADANA-AMUDARJA 106:85
SKIEMONE-CEILONA 85:107
DENKERKA-ZENTENE 85:110
FLORENCE-ABAKANA 85:110
SARAGOSA-RAVENNA 85:111
GOTLANDE-NIAGARA 113:85
DINKERSA-ALUKSNE 85:113
ALTAJS-MURMANSKA 85:114
BENGAZI-MINDANAO 114:85
KAZDANGA-TAIMIRA 115:85
LISABONA-POCIEMS 85:115
AIDAHO-MURMANSKA 85:117
SARAGOSA-TAIZEME 85:118
BALTEZERS-MASTIS 118:85
CEILONA-SIESARTE 120:85
AMUDARJA-KANBERA 85:122
KRETINGA-BEBRENE 85:124
POCIEMS-KRETINGA 128:85
GABORONE-BOSFORS 134:85
BOSFORS-JOKOHOMA 85:136
EGLAINE-AMUDARJA 138:85
HELSINKI-LOKARNA 85:139
RAVENNA-KZILORDA 144:85
VALGUNDE-GARONNA 85:145
LISABONA-CIECERE 148:85
LIVORNA-BELMANTA 149:85
MINESOTA-ABADANA 85:150
HAMBURGA-KANBERA 85:150
MARTINIKA-INESIS 86:85
RIODEORO-ARIZONA 85:86
KATVARI-REINJORA 85:88
ANADIRA-OKLAHOMA 85:89
BORNHOLMA-CINDAO 85:90
BALDONE-MINDANAO 85:90
JURBARKA-ARIZONA 85:91
HAMBURGA-UKRAINA 85:92
LITLROKA-ANADIRA 94:85
ELTONS-BALTEZERS 85:94
EGLAINE-BELMANTA 96:85
RAVENNA-STOMBOLI 97:85
MBABANE-RADOPOLE 98:85
ELTONS-MARIANNAS 85:98
REINJORA-BOSFORS 100:86
BALTEZERS-SALDUS 100:86
FLORENCE-KALTENE 101:86
RANGUNA-SIESARTE 102:86
NIKOPOLE-TAMPERE 103:86
HONKONGA-BENGAZI 86:104
SALIENA-MELBURNA 109:86
RIODEORO-AMAZONE 86:113
ZENTENE-FERMENTA 115:86
ZAMBEZI-KEMEROVA 117:86
KARTENA-RIODEORO 118:86
BELMANTA-IZMAIRA 118:86
SALIENA-STOMBOLI 119:86
MARTINIKA-CINDAO 119:86
SEVERNA-REINJORA 120:86
TAIMIRA-BANDUNGA 86:129
INSBURGA-LIVORNA 86:130
SORBONNA-KATVARI 131:86
LAUTERE-SORBONNA 86:132
CINDAO-VERAKRUSA 132:86
MALAIZIJA-MEHIKO 132:86
MAIKOPA-MINDANAO 86:133
MINESOTA-RAVENNA 86:133
NOVGORODA-PAMIRS 139:86
TALLINA-MALJORKA 140:86
BANDUNGA-SALVANA 86:142
SAIGONA-GOTLANDE 142:86
TJANDZINA-KANNAS 145:86
RIODEORO-HOPJORA 145:86
LIELUPE-OKSFORDA 148:86
VERMONTA-TAMPERE 150:86
LABANOVA-LAUDERI 88:86
KAMPIS-UGUNSZEME 86:88
KUNLUNS-KROIDONA 92:86
MELBURNA-RAVENNA 86:95
TURMANTA-DEMOINA 86:96
LOZANNA-SARAGOSA 97:86
BRAITONA-KAJENNA 86:98
PALEMONA-PILZENE 87:101
SIESARTE-TAMPERE 87:101
HONKONGA-AMAZONE 87:103
MAKENZI-JURBARKA 104:87
JURBARKA-VARDURA 87:104
PILTENE-NIKOPOLE 105:87
MANITOBA-ARAGONA 87:107
KALTENE-MANITOBA 108:87
MINDANAO-KATVARI 108:87
BALATONS-LAUTERE 109:87
OKSFORDA-TRAPENE 87:110
SKIEMONE-HARBINA 87:110
BOSFORS-MINDANAO 87:112
NIKOPOLE-IZMAIRA 112:87
HELSINKI-KANGARI 113:87
HUDZONA-JOKOHOMA 114:87
CEILONA-KZILORDA 117:87
KORNVOLA-ABADANA 87:126
BOSFORS-SIESARTE 127:87
MURMANSKA-MASTIS 129:87
ELTONS-KALVARIJA 87:130
PAMIRS-SALASPILS 87:130
JANOPOLE-DEMOINA 87:131
SARAGOSA-SALIENA 87:132
KATVARI-BALATONS 87:132
KRETINGA-TALLINA 87:135
DENKERKA-TAIVANA 87:141
AVINJONA-PLATONE 87:142
BANGKOKA-RAVENNA 87:145
RIODEORO-DAIVANA 87:148
MANITOBA-HONIARA 149:87
HELSINKI-PILTENE 87:89
HONIARA-KORNVOLA 87:90
KROIDONA-KONAKRI 91:87
OLIMPS-TAGANROGA 87:91
LOTRINGA-TAIZEME 87:92
FERMENTA-PUMPENI 87:96
PALEMONA-LUCERNA 87:97
BELMANTA-HOPJORA 99:87
DENVERA-LABANOVA 88:100
KZILORDA-HAIFONA 88:102
LISABONA-LOZANNA 88:103
PAMIRS-PRETORIJA 88:104
AIDAHO-PORTSMUTA 88:106
SALVANA-FLORENCE 113:88
PALERMO-RIODEORO 115:88
NIKOPOLE-PUMPENI 88:117
MAIKOPA-LABANOVA 88:117
HONIARA-SORBONNA 88:118
TAURUPE-MINDANAO 88:118
SUMATRA-BABRUNGA 88:120
BENGAZI-ALEKSOTA 122:88
HELSINKI-ZENTENE 88:123
DEMOINA-VERMONTA 124:88
OLIMPS-MALAIZIJA 88:124
BELMANTA-PASIENA 88:126
BANDUNGA-KAPZEME 88:134
MELNUPE-KATMANDU 88:137
ZVIEDRIJA-ALTAJS 138:88
KALVENE-PEREKOPS 139:88
JITLANDE-ABADANA 88:140
ATLASS-MURMANSKA 88:142
BUFALO-KUSTANAJA 88:142
MBABANE-LISABONA 144:88
PELTES-BALTIMORA 88:145
OREGONA-KZILORDA 146:88
SAIGONA-KATMANDU 148:88
DENKERKA-KONAKRI 88:148
TIRASPOLE-SAPORO 88:150
VETERNS-MALJORKA 90:88
AMUDARJA-ZENTENE 88:93
HELSINKI-HONIARA 95:88
ABADANA-MANITOBA 95:88
PEREKOPS-CEILONA 88:97
BEBRENE-MELBURNA 99:88
AVINJONA-SLOCENE 89:104
MBABANE-JOKOHOMA 106:89
OLIMPS-KOSTARIKA 89:106
CEILONA-BALATONS 107:89
HAIFONA-GABORONE 111:89
GUBERNIJA-CINDAO 115:89
DOTMUNDA-BENGAZI 89:116
LOKARNA-KRETINGA 119:89
ALEKSOTA-KONAKRI 120:89
HOPJORA-KROIDONA 89:120
TAURUPE-SIESARTE 122:89
IZMAIRA-SIRDARJA 127:89
CIECERE-JITLANDE 89:128
RADOPOLE-LONDONA 89:130
MERGUPE-BALATONS 89:130
VAIVARI-PEREKOPS 89:131
GALIPOLE-SEVERNA 89:131
NIKOPOLE-KALVENE 89:132
KEMEROVA-PILTENE 89:140
BENGAZI-INSBURGA 141:89
REINJORA-TRAPENE 89:142
VALGUNDE-LUCERNA 89:142
TAURUPE-MANITOBA 89:144
TOSMARE-VESTENDE 89:146
LOKARNA-AMUDARJA 146:89
TJANDZINA-ALTAJS 146:89
SIESARTE-MUKDENA 89:147
DENKERKA-KALVENE 89:148
AVINJONA-KAJENNA 89:149
RIODEORO-OLSTERA 149:89
ELTONS-BELGORODA 89:92
ANADIRA-FLORENCE 89:94
AMAZONE-KATMANDU 89:95
DOTMUNDA-BERGENA 89:97
PEREKOPS-PILZENE 9:101
LOTRINGA-EGLAINE 9:102
VETERNS-BELMANTA 103:9
VALGUNDE-NANKINA 9:103
LOKARNA-REINJORA 105:9
KATVARI-ALEKSOTA 9:105
PALERMO-FLORENCE 110:9
SEVANS-KRUSTPILS 9:110
JITLANDE-KUNLUNS 110:9
ABAKANA-KROIDONA 112:9
MELNUPE-SARAGOSA 9:113
RAUDONE-VALGUNDE 9:115
AVINJONA-RAVENNA 9:117
HONIARA-LOTRINGA 9:119
VENTSPILS-MELARS 12:9
STOKHOLMA-MELARS 12:9
EGLAINE-KOSTROMA 121:9
FERMENTA-LAZDONA 9:123
AMAZONE-KAZDANGA 123:9
HUDZONA-SARAGOSA 125:9
VESTENDE-HAIFONA 9:129
HONKONGA-LIELUPE 13:9
GABORONE-LAZDONA 9:130
POCIEMS-DENKERKA 131:9
SLOCENE-DOTMUNDA 9:136
VERDENA-KOSTROMA 138:9
VIKTORIJA-AIDAHO 9:139
KONAKRI-AMUDARJA 143:9
HUDZONA-NIKOPOLE 143:9
TJANDZINA-CINDAO 144:9
VERDENA-LISABONA 144:9
ALUKSNE-DOTMUNDA 9:149
BELMANTA-LOKARNA 9:149
DUBLINA-PALEMONA 15:9
KONAKRI-VALGUNDE 9:18
MALAIZIJA-MASTIS 19:9
KATVARI-EKVADORA 9:22
KONAKRI-VERMONTA 9:26
KOSTARIKA-VENERS 27:9
BALATONS-OREGONA 9:28
JITLANDE-TALLINA 9:33
MALABO-TJANDZINA 9:34
KROIDONA-DENVERA 37:9
PEDEDZE-DINKERSA 38:9
KRETINGA-PASIENA 9:41
DUBLINA-LOTRINGA 42:9
HAVANNA-LOTRINGA 42:9
KATVARI-PALEMONA 9:42
INSBURGA-VARDURA 9:43
KALTENE-AVINJONA 43:9
BALDONE-HONKONGA 44:9
MIASURA-HELSINKI 9:48
HELSINKI-BEBRENE 9:50
JITLANDE-BEBRENE 51:9
JURBARKA-GARONNA 9:51
MELBURNA-GARONNA 9:55
VAIVARI-RADOPOLE 9:56
KALVARIJA-AIDAHO 9:56
TURMANTA-GULBENE 9:56
MARIANNAS-KANNAS 57:9
VALGUNDE-ARAGONA 9:59
SIRDARJA-TALLINA 9:59
VENERS-TERNOPOLE 9:61
BERGENA-BRISTOLE 62:9
GOTLANDE-HONIARA 67:9
BORNEO-VERAKRUSA 67:9
HUDZONA-KATMANDU 67:9
SARAGOSA-PEDEDZE 9:69
TURMANTA-POCIEMS 9:70
IZMAIRA-GOTLANDE 9:80
KUSTANAJA-VENERS 81:9
SORBONNA-EGLAINE 9:89
MANITOBA-OREGONA 9:90
LITLROKA-BEBRENE 9:91
MINESOTA-MIASURA 91:9
SIRDARJA-USTRONE 9:92
KROIDONA-BOSTONA 9:93
DAIVANA-EKVADORA 97:9
BORNHOLMA-MONAKO 9:98
BUFALO-INVERNESA 9:98
MANITOBA-GULBENE 9:99
NIKOPOLE-TOSMARE 100:90
LITLROKA-POCIEMS 90:102
MAIKOPA-KZILORDA 103:90
DURBANA-LISABONA 104:90
ZAMBEZI-OKLAHOMA 108:90
MELBURNA-HAIFONA 90:108
BRAITONA-HAIFONA 90:109
LOZANNA-LOTRINGA 110:90
UKRAINA-DENKERKA 114:90
GALIPOLE-TAIVANA 90:116
GULBENE-BRAITONA 125:90
PALEMONA-POCIEMS 90:127
MINESOTA-LIVORNA 90:128
EGLAINE-PALEMONA 130:90
INVERNESA-BAMAKO 131:90
OLSTERA-VESTENDE 90:135
SAMAVS-TERNOPOLE 90:141
KAZDANGA-IZMAIRA 142:90
MEISENE-DENKERKA 144:90
SALVANA-BALATONS 146:90
KRUSTPILS-PELTES 147:90
JURBARKA-BALDONE 90:148
EKVADORA-SEVERNA 90:92
TALLINA-JANOPOLE 93:90
OGLAINE-BRISTOLE 93:90
OKSFORDA-LIVORNA 90:95
GABORONE-ANADIRA 97:90
REINJORA-PILZENE 91:103
TAIZEME-DENKERKA 107:91
TALLINA-BANDUNGA 108:91
BEBRENE-MALJORKA 109:91
DINKERSA-KALTENE 91:111
KAMPIS-BALTIMORA 91:113
SLOCENE-KAZDANGA 113:91
MELNUPE-JANOPOLE 91:113
REINJORA-PLATONE 91:115
LONDONA-BRISTOLE 116:91
POCIEMS-JURBARKA 116:91
SIESARTE-LONDONA 91:118
SALIENA-HELSINKI 120:91
BENDERI-VALGUNDE 91:121
SIESARTE-GARONNA 91:126
CIECERE-DOTMUNDA 91:127
AMUDARJA-SALVANA 91:128
SAPORO-KALVARIJA 130:91
LIELUPE-AVINJONA 91:130
BRISTOLE-TAURUPE 132:91
AVINJONA-CIECERE 132:91
HAVANNA-GOTLANDE 133:91
MALABO-MARTINIKA 91:135
KALVENE-SORBONNA 136:91
SORBONNA-DURBANA 91:137
SALVANA-JOKOHOMA 138:91
ZAMBEZI-VALGUNDE 143:91
HAIFONA-SIESARTE 143:91
BELMANTA-SALIENA 91:144
KANTONA-HONKONGA 147:91
VENERS-BORNHOLMA 91:148
POCIEMS-VESTENDE 149:91
RANGUNA-VALGUNDE 150:91
TAURUPE-DOTMUNDA 91:150
CIECERE-KZILORDA 91:92
KOSTROMA-PASIENA 91:92
BANDUNGA-KANBERA 93:91
TIRASPOLE-KAMPIS 93:91
VERAKRUSA-SEVANS 94:91
ABADANA-EKVADORA 96:91
EKVADORA-TALLINA 91:96
ALEKSOTA-DEMOINA 91:98
RIODEORO-HONIARA 98:91
NANKINA-EKVADORA 99:91
MAIKOPA-INSBURGA 99:91
HARBINA-BANDUNGA 100:92
HAVANNA-RIODEORO 101:92
VERDENA-DENKERKA 102:92
LIELUPE-GLAZGOVA 92:102
BALATONS-LONDONA 92:103
KILKENIJA-MALABO 103:92
HONIARA-JITLANDE 92:104
OREGONA-HAMBURGA 106:92
CINDAO-VIKTORIJA 109:92
BENGAZI-TURMANTA 109:92
PLATONE-SIRDARJA 110:92
VENTSPILS-VENERS 111:92
VARDURA-NIKOPOLE 92:113
TRAPENE-DENKERKA 114:92
PLATONE-MANITOBA 114:92
FLORENCE-LAZDONA 92:115
SAPORO-CINCINATI 92:116
BREDFORDA-MONAKO 92:116
TAURUPE-GLAZGOVA 92:119
MELBURNA-SUMATRA 92:120
KANGARI-OKLAHOMA 92:120
MASTIS-TERNOPOLE 92:121
TAIVANA-SIRDARJA 122:92
RADOPOLE-KARTENA 92:130
HONKONGA-BOSTONA 92:131
AMUDARJA-BEBRENE 92:132
MEISENE-STOMBOLI 137:92
VETERNS-MANITOBA 139:92
BELMANTA-KURZEME 92:140
SUMATRA-JITLANDE 92:140
BERGENA-BABRUNGA 141:92
POCIEMS-SORBONNA 142:92
SLOCENE-MANITOBA 143:92
SIRDARJA-GULBENE 92:143
HONDURASA-PELTES 143:92
OLSTERA-NIKOPOLE 92:148
VERDENA-AMUDARJA 148:92
GOTLANDE-OLSTERA 99:92
MADEIRA-BANGKOKA 93:106
SEVANS-GUBERNIJA 93:106
VALGUNDE-KALVENE 106:93
MARTINIKA-ELTONS 107:93
LAUDERI-STOMBOLI 93:109
SIRDARJA-ARIZONA 93:110
ZAMBEZI-VESTENDE 110:93
KALJAO-NOVGORODA 113:93
INSBURGA-CEILONA 93:114
KALJAO-MARIANNAS 93:115
VERMONTA-ZAMBEZI 93:116
SAPORO-MALAIZIJA 93:116
ARAGONA-KATMANDU 117:93
SEVERNA-VESTENDE 118:93
DUBLINA-OKSFORDA 123:93
BENGAZI-BANDUNGA 128:93
BORNEO-TERNOPOLE 129:93
TIRASPOLE-TOLEDO 93:132
BUFALO-TJANDZINA 93:138
RIODEORO-KAJENNA 93:142
LAUDERI-BRISTOLE 93:145
KATMANDU-KUNLUNS 145:93
UKRAINA-KOSTROMA 148:93
LAUTERE-SKIEMONE 93:148
OKLAHOMA-TAIMIRA 150:93
ALUKSNE-KROIDONA 96:93
OKLAHOMA-BEBRENE 93:97
MASTIS-KRUSTPILS 93:99
OKSFORDA-MAKENZI 94:101
IZMAIRA-INSBURGA 102:94
DENVERA-LITLROKA 94:104
HAVANNA-KROIDONA 104:94
MUKDENA-GABORONE 105:94
TAIZEME-RIODEORO 107:94
VALGUNDE-SLOCENE 107:94
DEMOINA-RADOPOLE 108:94
GOTLANDE-KAJENNA 94:108
LAUTERE-BANGKOKA 94:109
ZENTENE-BALATONS 113:94
HOPJORA-STOMBOLI 94:114
MONAKO-VENTSPILS 116:94
BALDONE-LISABONA 117:94
UGUNSZEME-SALDUS 118:94
VETERNS-GOTLANDE 94:119
SARAGOSA-KANGARI 123:94
JOKOHOMA-PALERMO 94:127
KROIDONA-PASIENA 94:128
HERSONA-MANITOBA 131:94
ALUKSNE-TURMANTA 132:94
AMUDARJA-PUMPENI 94:135
KONAKRI-RADOPOLE 94:136
KAPZEME-HONKONGA 136:94
PLATONE-ALEKSOTA 139:94
MINDANAO-PALERMO 94:139
KORNVOLA-TOSMARE 141:94
KEMEROVA-TAMPERE 143:94
AMUDARJA-ZAMBEZI 94:144
KEMEROVA-VERDENA 94:144
RIODEORO-ZAMBEZI 94:145
SEVERNA-OKLAHOMA 149:94
MAKENZI-HAMBURGA 149:94
OLSTERA-EKVADORA 94:95
UKRAINA-KORNVOLA 98:94
TRAPENE-HAMBURGA 98:94
MINESOTA-AMAZONE 94:99
SKIEMONE-GARONNA 95:100
MAIKOPA-GALIPOLE 95:100
MELBURNA-KAPZEME 95:102
MINHENE-HELSINKI 102:95
HONDURASA-SAPORO 95:104
BALDONE-FERMENTA 105:95
BELGORODA-AIDAHO 95:106
BOSTONA-VERMONTA 107:95
BREDFORDA-PELTES 108:95
JURBARKA-LONDONA 95:108
TERNOPOLE-KAMPIS 111:95
VALGUNDE-PASIENA 95:112
GALIPOLE-VETERNS 95:113
RADOPOLE-ARAGONA 95:114
MADEIRA-DOTMUNDA 95:115
ARIZONA-ALEKSOTA 118:95
FLANDRIJA-INESIS 119:95
MARTINIKA-MELARS 121:95
CINDAO-MARIANNAS 95:121
LAUDERI-LITLROKA 95:121
CEILONA-MANITOBA 122:95
SALDUS-VERAKRUSA 95:123
KROIDONA-HUDZONA 95:123
NANKINA-PEREKOPS 124:95
LITLROKA-TRAPENE 95:124
TRAPENE-GABORONE 128:95
PEDEDZE-SIRDARJA 128:95
PASIENA-OKSFORDA 128:95
MINHENE-SORBONNA 130:95
KORNVOLA-HERSONA 95:130
PILTENE-AMUDARJA 130:95
VERDENA-INSBURGA 133:95
JITLANDE-LIELUPE 133:95
TOBAGO-FLANDRIJA 134:95
DENKERKA-PILZENE 95:134
HUDZONA-REINJORA 134:95
GLAZGOVA-KUNLUNS 95:136
BORNEO-PRETORIJA 137:95
UKRAINA-TURMANTA 139:95
BELMANTA-MEISENE 95:140
GOTLANDE-KAPZEME 95:142
SKIEMONE-HONIARA 148:95
PALEMONA-TAMPERE 96:95
IZMAIRA-MALJORKA 96:95
TURMANTA-ARAGONA 95:97
SARAGOSA-NANKINA 95:99
OLSTERA-SIRDARJA 103:96
ARIZONA-PALEMONA 106:96
VALGUNDE-SEVERNA 96:109
KORNVOLA-LONDONA 96:109
KARTENA-BRISTOLE 110:96
BENDERI-KZILORDA 96:110
KORNVOLA-ALUKSNE 96:115
DINKERSA-TOSMARE 96:119
SKAGERAKS-SALDUS 119:96
KEMEROVA-TRAPENE 96:122
ARAGONA-BABRUNGA 122:96
KATMANDU-LIELUPE 122:96
MADEIRA-FLORENCE 96:125
SIESARTE-BEBRENE 96:125
IZMAIRA-SARAGOSA 96:126
ANADIRA-RADOPOLE 96:126
BRISTOLE-ZAMBEZI 96:127
HOPJORA-DINKERSA 128:96
STOMBOLI-KUNLUNS 96:129
DEMOINA-BANDUNGA 129:96
SKIEMONE-VETERNS 96:130
HONDURASA-SAMAVS 135:96
KURZEME-AVINJONA 139:96
LOTRINGA-KALVENE 96:141
LITLROKA-VERDENA 96:147
BALTIMORA-TOBAGO 98:96
KANTONA-STOMBOLI 98:96
LABANOVA-LIELUPE 99:96
KRETINGA-BOSFORS 101:97
LUCERNA-DINKERSA 102:97
ABAKANA-TURMANTA 102:97
KAZDANGA-ARIZONA 97:102
JURBARKA-ZAMBEZI 97:104
MANITOBA-MADEIRA 106:97
VESTENDE-PILZENE 108:97
BOSTONA-GALIPOLE 109:97
BELGORODA-TOBAGO 97:110
PUMPENI-BANDUNGA 97:111
KORNVOLA-TAIZEME 97:112
JOKOHOMA-KALVENE 97:112
SALDUS-BALTIMORA 97:114
KUNLUNS-FERMENTA 115:97
BORNHOLMA-VEZUVS 117:97
LOTRINGA-MELNUPE 118:97
UKRAINA-LABANOVA 118:97
IZMAIRA-HONKONGA 97:119
JITLANDE-MAKENZI 97:120
TURMANTA-OGLAINE 97:122
ARIZONA-KROIDONA 124:97
VERDENA-REINJORA 126:97
BRISTOLE-TAMPERE 126:97
TOSMARE-HAMBURGA 130:97
TIRASPOLE-PELTES 130:97
