100
SINSITIJA-LIZUMS 0:122
KRAKATAU-BUENOSAIRESA 100:60
IRKUTSKA-BUENOSAIRESA 113:104
VADAKSTE-BUENOSAIRESA 118:17
HOLIVUDA-BUENOSAIRESA 144:60
EVERESTS-BUENOSAIRESA 146:38
KIROVSKA-BUENOSAIRESA 19:139
ALAUKSTS-BUENOSAIRESA 20:21
KAVARSKA-BUENOSAIRESA 29:17
ATABASKA-BUENOSAIRESA 3:66
KAHOVSKA-BUENOSAIRESA 39:78
SOVETSKA-BUENOSAIRESA 4:122
SARANSKA-BUENOSAIRESA 46:51
ANGARSKA-BUENOSAIRESA 51:127
NEBRASKA-BUENOSAIRESA 68:137
LUGANSKA-BUENOSAIRESA 7:150
VAGADUGU-BUENOSAIRESA 75:133
JAKUTSKA-BUENOSAIRESA 76:27
BELFASTA-BUENOSAIRESA 88:75
BRJANSKA-BUENOSAIRESA 91:41
GREITSLEIVLEIKS-IRKUTSKA 38:6
KESONSITIJA-MEMFISA 117:32
ZILAISKALNS-MEMFISA 144:139
MURMASTIENE-MEMFISA 144:85
JUGLASCIEMS-MEMFISA 33:104
SEVASTOPOLE-MEMFISA 43:89
SKAISTKALNE-MEMFISA 88:14
SAULESKALNS-MEMFISA 91:8
KONEKTIKUTA-MEMFISA 92:23
MURMASTIENE-TBILISI 0:58
SKAISTKALNE-TBILISI 1:139
SAULESKALNS-KUTAISI 115:52
SAULESKALNS-TBILISI 125:22
SKAISTKALNE-KUTAISI 132:126
ZILAISKALNS-KUTAISI 144:15
KONEKTIKUTA-KUTAISI 15:72
MURMASTIENE-KUTAISI 21:122
KONEKTIKUTA-TBILISI 41:53
SEVASTOPOLE-TBILISI 42:95
KESONSITIJA-KUTAISI 58:110
SEVASTOPOLE-KUTAISI 64:51
ZILAISKALNS-TBILISI 93:51
KESONSITIJA-TBILISI 98:87
SEVASTOPOLE-ZILAISKALNS 12:147
KONEKTIKUTA-ZILAISKALNS 47:98
SAULESKALNS-ZILAISKALNS 70:2
MURMASTIENE-ZILAISKALNS 74:73
SKAISTKALNE-ZILAISKALNS 95:135
SKAISTKALNE-BRATISLAVA 137:3
MURMASTIENE-BRATISLAVA 73:59
SEVASTOPOLE-BRATISLAVA 76:49
KONEKTIKUTA-BRATISLAVA 83:50
SKAISTKALNE-KUVEITA 126:124
SEVASTOPOLE-KUVEITA 33:144
KONEKTIKUTA-KUVEITA 91:5
HOLIVUDA-KANZASSITIJA 101:39
EVERESTS-KANZASSITIJA 104:10
KINGSTONA-KESONSITIJA 105:133
VADAKSTE-KANZASSITIJA 110:31
BELOSTOKA-KESONSITIJA 113:91
KONEKTIKUTA-SINSITIJA 122:79
SEVASTOPOLE-SINSITIJA 130:85
SKAISTKALNE-SINSITIJA 136:58
BELFASTA-KANZASSITIJA 147:108
KRAKATAU-KANZASSITIJA 24:75
VAGADUGU-KANZASSITIJA 25:47
FOLKSTONA-KESONSITIJA 27:146
KULAUTUVA-KESONSITIJA 38:80
SINSITIJA-KESONSITIJA 45:78
HAMILTONA-KESONSITIJA 49:5
MANHATANA-KESONSITIJA 82:59
MENHETENA-KESONSITIJA 90:138
ALAUKSTS-KANZASSITIJA 94:53
SENTLUISA-KESONSITIJA 95:3
KANZASSITIJA-GREITSLEIVLEIKS 12:145
PONAKSTEETLS-GREITSLEIVLEIKS 87:107
LEJASSTRAZDI-GREITSLEIVLEIKS 94:47
VORKUTA-GREITSLEIVLEIKS 116:99
PLIMUTA-GREITSLEIVLEIKS 117:96
TARENTO-GREITSLEIVLEIKS 118:52
DORSETA-GREITSLEIVLEIKS 123:49
KAUNATA-GREITSLEIVLEIKS 126:104
PRIPETE-GREITSLEIVLEIKS 13:140
ERFURTE-GREITSLEIVLEIKS 130:122
KARPATI-GREITSLEIVLEIKS 138:79
ELBRUSS-GREITSLEIVLEIKS 140:60
KUMPOTE-GREITSLEIVLEIKS 145:93
BEIRUTA-GREITSLEIVLEIKS 147:93
VAINUTA-GREITSLEIVLEIKS 149:88
KALKUTA-GREITSLEIVLEIKS 19:37
ARARATS-GREITSLEIVLEIKS 2:142
DONBASS-GREITSLEIVLEIKS 22:15
AIZPUTE-GREITSLEIVLEIKS 26:136
EIFRATA-GREITSLEIVLEIKS 35:133
MACESTA-GREITSLEIVLEIKS 37:70
TORONTO-GREITSLEIVLEIKS 45:13
SALANTA-GREITSLEIVLEIKS 48:100
LAPLATA-GREITSLEIVLEIKS 63:107
TRIESTE-GREITSLEIVLEIKS 71:31
BIZERTA-GREITSLEIVLEIKS 72:133
VALLETA-GREITSLEIVLEIKS 73:4
TOLJATI-GREITSLEIVLEIKS 73:40
KUZBASS-GREITSLEIVLEIKS 77:37
ATLANTA-GREITSLEIVLEIKS 78:145
UTREHTA-GREITSLEIVLEIKS 84:15
KUVEITA-GREITSLEIVLEIKS 92:86
DUBULTI-GREITSLEIVLEIKS 96:131
PEIPUSS-GREITSLEIVLEIKS 98:57
EVERESTS-VALENSIJA 0:100
KAHOVSKA-FEODOSIJA 10:17
JAKUTSKA-FEODOSIJA 100:105
KAVARSKA-FEODOSIJA 101:37
ALAUKSTS-FEODOSIJA 105:24
SOVETSKA-VALENSIJA 118:55
NUKUSU-KESONSITIJA 12:60
ANGARSKA-FEODOSIJA 125:33
SARANSKA-FEODOSIJA 128:46
VAGADUGU-SINSITIJA 130:71
ALAUKSTS-VALENSIJA 14:13
ALATAU-KESONSITIJA 14:57
NEBRASKA-VALENSIJA 140:101
KRAKATAU-FEODOSIJA 145:100
KIROVSKA-FEODOSIJA 145:106
IRKUTSKA-FEODOSIJA 149:107
ANGARSKA-VALENSIJA 149:108
IRKUTSKA-VALENSIJA 15:84
KAHOVSKA-VALENSIJA 16:34
ATABASKA-FEODOSIJA 17:104
SOVETSKA-FEODOSIJA 21:52
KIROVSKA-VALENSIJA 22:40
LUGANSKA-FEODOSIJA 30:129
BELFASTA-VALENSIJA 34:25
VAGADUGU-FEODOSIJA 39:0
LUGANSKA-VALENSIJA 4:115
VAGADUGU-VALENSIJA 42:2
NEBRASKA-FEODOSIJA 43:89
BRJANSKA-VALENSIJA 44:52
BELFASTA-FEODOSIJA 45:14
KAVARSKA-VALENSIJA 45:96
HOLIVUDA-SINSITIJA 5:80
EVERESTS-FEODOSIJA 54:138
HOLIVUDA-VALENSIJA 56:43
BRJANSKA-FEODOSIJA 57:126
ATABASKA-VALENSIJA 74:9
JAKUTSKA-VALENSIJA 75:67
VADAKSTE-FEODOSIJA 77:55
KRAKATAU-VALENSIJA 77:6
MAPUTU-KESONSITIJA 79:50
VADAKSTE-VALENSIJA 82:118
HOLIVUDA-FEODOSIJA 87:143
SARANSKA-VALENSIJA 93:70
GREITSLEIVLEIKS-JAKUTSKA 84:68
SAULESKALNS-ALTAJS 30:127
KONEKTIKUTA-ALTAJS 53:61
KESONSITIJA-ALTAJS 54:104
JUGLASCIEMS-ALTAJS 55:34
MURMASTIENE-ALTAJS 56:83
ZILAISKALNS-ALTAJS 61:109
SKAISTKALNE-ALTAJS 76:113
SEVASTOPOLE-ALTAJS 85:14
GREITSLEIVLEIKS-JUGLASCIEMS 11:98
SINSITIJA-BRJANSKA 0:36
MENHETENA-NEBRASKA 102:23
SENTLUISA-JAKUTSKA 103:8
KULAUTUVA-KIROVSKA 104:15
SINSITIJA-KIROVSKA 105:80
SINSITIJA-JAKUTSKA 107:131
SENTLUISA-LUGANSKA 108:5
KINGSTONA-KIROVSKA 108:73
KINGSTONA-LUGANSKA 109:11
SINSITIJA-SOVETSKA 109:113
KULAUTUVA-ANGARSKA 11:47
MENHETENA-JAKUTSKA 110:99
SENTLUISA-ATABASKA 111:112
KINGSTONA-ANGARSKA 111:81
MENHETENA-SOVETSKA 112:93
HAMILTONA-LUGANSKA 113:141
MANHATANA-SARANSKA 114:11
KINGSTONA-SOVETSKA 114:80
HAMILTONA-KAVARSKA 115:59
FOLKSTONA-KIROVSKA 116:134
HAMILTONA-KIROVSKA 116:80
FOLKSTONA-ATABASKA 119:81
MENHETENA-KIROVSKA 120:8
FOLKSTONA-JAKUTSKA 121:98
HOLIVUDA-BELOSTOKA 122:20
FOLKSTONA-BRJANSKA 122:62
HAMILTONA-SARANSKA 123:57
HAMILTONA-ATABASKA 124:127
KULAUTUVA-ATABASKA 127:133
MENHETENA-SARANSKA 128:116
SENTLUISA-BRJANSKA 13:89
SENTLUISA-KAVARSKA 130:116
KULAUTUVA-SOVETSKA 130:2
FOLKSTONA-ANGARSKA 132:85
HAMILTONA-JAKUTSKA 133:109
BELOSTOKA-LUGANSKA 133:42
KINGSTONA-JAKUTSKA 134:3
MANHATANA-BRJANSKA 134:57
BELOSTOKA-KAHOVSKA 137:28
BELOSTOKA-ATABASKA 137:30
FOLKSTONA-SARANSKA 138:79
KULAUTUVA-IRKUTSKA 139:83
HAMILTONA-IRKUTSKA 140:129
HAMILTONA-ANGARSKA 140:29
SINSITIJA-ANGARSKA 142:53
MENHETENA-KAHOVSKA 142:79
SINSITIJA-KAHOVSKA 145:61
MANHATANA-LUGANSKA 146:31
FOLKSTONA-KAHOVSKA 149:118
SENTLUISA-KAHOVSKA 18:63
FOLKSTONA-KAVARSKA 19:145
MENHETENA-ANGARSKA 21:40
BELOSTOKA-ANGARSKA 21:61
MENHETENA-ATABASKA 23:29
BELOSTOKA-IRKUTSKA 23:35
SENTLUISA-ANGARSKA 25:26
SENTLUISA-IRKUTSKA 25:98
SINSITIJA-ATABASKA 28:73
HAMILTONA-NEBRASKA 32:136
KINGSTONA-KAVARSKA 33:28
SINSITIJA-KAVARSKA 34:133
SENTLUISA-SOVETSKA 34:29
HAMILTONA-KAHOVSKA 34:68
BELOSTOKA-KIROVSKA 35:65
KINGSTONA-IRKUTSKA 37:5
BELOSTOKA-JAKUTSKA 39:49
KULAUTUVA-LUGANSKA 4:15
KULAUTUVA-JAKUTSKA 41:111
SINSITIJA-LUGANSKA 41:71
BELOSTOKA-NEBRASKA 42:83
SENTLUISA-KIROVSKA 43:139
KULAUTUVA-NEBRASKA 45:120
KINGSTONA-NEBRASKA 47:95
MENHETENA-IRKUTSKA 5:150
KULAUTUVA-SARANSKA 51:135
HAMILTONA-BRJANSKA 53:15
MANHATANA-NEBRASKA 54:61
KULAUTUVA-KAHOVSKA 54:74
KINGSTONA-BRJANSKA 55:147
MANHATANA-KAVARSKA 55:24
MANHATANA-KAHOVSKA 58:130
KINGSTONA-SARANSKA 6:134
MANHATANA-ATABASKA 6:21
VAGADUGU-BELOSTOKA 61:123
SINSITIJA-SARANSKA 64:122
MANHATANA-KIROVSKA 64:122
FOLKSTONA-NEBRASKA 65:14
BELOSTOKA-BRJANSKA 68:32
MENHETENA-BRJANSKA 70:19
HAMILTONA-SOVETSKA 71:19
KULAUTUVA-BRJANSKA 74:116
SENTLUISA-SARANSKA 74:92
KINGSTONA-ATABASKA 75:1
MENHETENA-LUGANSKA 75:113
FOLKSTONA-SOVETSKA 76:145
FOLKSTONA-IRKUTSKA 79:64
SINSITIJA-NEBRASKA 8:19
BELOSTOKA-SOVETSKA 8:43
BELOSTOKA-SARANSKA 80:3
SINSITIJA-IRKUTSKA 81:150
MENHETENA-KAVARSKA 81:80
FOLKSTONA-LUGANSKA 83:121
KULAUTUVA-KAVARSKA 88:58
SENTLUISA-NEBRASKA 88:64
BELOSTOKA-KAVARSKA 89:41
KINGSTONA-KAHOVSKA 92:125
MANHATANA-SOVETSKA 92:141
MANHATANA-ANGARSKA 94:99
MANHATANA-IRKUTSKA 97:111
MANHATANA-JAKUTSKA 98:118
GREITSLEIVLEIKS-KAHOVSKA 103:31
FOLKSTONA-SKAISTKALNE 143:116
SENTLUISA-SKAISTKALNE 19:1
HAMILTONA-SKAISTKALNE 22:16
BELOSTOKA-SKAISTKALNE 58:54
KULAUTUVA-SKAISTKALNE 64:100
KINGSTONA-SKAISTKALNE 76:123
KINGSTONA-SAULESKALNS 10:145
KINGSTONA-ZILAISKALNS 101:59
SENTLUISA-ZILAISKALNS 104:47
MANHATANA-ZILAISKALNS 127:24
SENTLUISA-SAULESKALNS 129:73
FOLKSTONA-ZILAISKALNS 144:14
SINSITIJA-ZILAISKALNS 147:128
KULAUTUVA-ZILAISKALNS 147:46
BELOSTOKA-SAULESKALNS 147:71
MENHETENA-SAULESKALNS 147:83
SINSITIJA-SAULESKALNS 17:56
MANHATANA-SAULESKALNS 25:19
BELOSTOKA-ZILAISKALNS 42:88
MENHETENA-ZILAISKALNS 54:106
HAMILTONA-SAULESKALNS 59:92
HAMILTONA-ZILAISKALNS 63:117
FOLKSTONA-SAULESKALNS 69:90
KULAUTUVA-SAULESKALNS 77:66
GREITSLEIVLEIKS-KANZASA 120:97
GREITSLEIVLEIKS-KAVARSKA 63:75
GREITSLEIVLEIKS-KESONSITIJA 74:60
GREITSLEIVLEIKS-KINROSA 28:83
GREITSLEIVLEIKS-KIROVSKA 0:145
KESONSITIJA-SASEKSA 106:71
SKAISTKALNE-SASEKSA 124:14
MURMASTIENE-SASEKSA 137:113
SAULESKALNS-SASEKSA 138:125
KONEKTIKUTA-SASEKSA 18:142
ZILAISKALNS-SASEKSA 33:123
JUGLASCIEMS-SASEKSA 42:97
SEVASTOPOLE-SASEKSA 90:136
SEVASTOPOLE-VADAKSTE 37:134
SKAISTKALNE-VADAKSTE 7:28
MURMASTIENE-VADAKSTE 9:37
KONEKTIKUTA-VADAKSTE 90:70
SKAISTKALNE-PONAKSTEETLS 102:115
KONEKTIKUTA-PONAKSTEETLS 104:49
SEVASTOPOLE-PONAKSTEETLS 141:86
MURMASTIENE-PONAKSTEETLS 87:71
SEVASTOPOLE-ALAUKSTS 12:15
SKAISTKALNE-ALAUKSTS 59:17
KONEKTIKUTA-ALAUKSTS 62:11
SKAISTKALNE-KONEKTIKUTA 116:29
SEVASTOPOLE-KONEKTIKUTA 29:111
VAGADUGU-KONEKTIKUTA 126:88
HOLIVUDA-KONEKTIKUTA 134:7
GREITSLEIVLEIKS-KUTAISI 57:15
BELFASTA-MORICSALA 1:72
JAKUTSKA-MORICSALA 103:16
SARANSKA-MORICSALA 106:146
KRAKATAU-MORICSALA 106:22
HOLIVUDA-MORICSALA 113:47
NEBRASKA-LUCAVSALA 115:1
NEBRASKA-MORICSALA 116:130
EVERESTS-LUCAVSALA 119:135
VADAKSTE-MORICSALA 120:84
VADAKSTE-LUCAVSALA 126:74
BRJANSKA-MORICSALA 134:8
SARANSKA-LUCAVSALA 138:97
KIROVSKA-MORICSALA 142:36
ANGARSKA-MORICSALA 15:84
LUGANSKA-LUCAVSALA 150:33
IRKUTSKA-MORICSALA 150:45
HOLIVUDA-LUCAVSALA 20:78
KRAKATAU-LUCAVSALA 25:124
ATABASKA-LUCAVSALA 27:126
ALAUKSTS-LUCAVSALA 27:73
IRKUTSKA-LUCAVSALA 27:89
ALAUKSTS-MORICSALA 3:50
KAVARSKA-LUCAVSALA 36:91
KAVARSKA-MORICSALA 44:126
EVERESTS-MORICSALA 46:114
KIROVSKA-LUCAVSALA 46:69
KAHOVSKA-MORICSALA 49:46
BRJANSKA-LUCAVSALA 5:66
ATABASKA-MORICSALA 60:17
VAGADUGU-LUCAVSALA 60:44
SOVETSKA-MORICSALA 61:90
JAKUTSKA-LUCAVSALA 63:3
BELFASTA-LUCAVSALA 67:77
ANGARSKA-LUCAVSALA 78:11
VAGADUGU-MORICSALA 81:72
SOVETSKA-LUCAVSALA 91:68
KAHOVSKA-LUCAVSALA 92:125
LUGANSKA-MORICSALA 99:114
LEJASSTRAZDI-JUGLASCIEMS 114:51
KANZASSITIJA-JUGLASCIEMS 13:84
PONAKSTEETLS-JUGLASCIEMS 25:55
SENTLUISA-BRATISLAVA 101:25
KINGSTONA-BRATISLAVA 104:51
MANHATANA-BRATISLAVA 119:30
MENHETENA-BRATISLAVA 123:140
KULAUTUVA-BRATISLAVA 128:45
HAMILTONA-BRATISLAVA 47:37
BELOSTOKA-BRATISLAVA 79:145
FOLKSTONA-BRATISLAVA 85:134
SINSITIJA-BRATISLAVA 85:86
MAPUTU-SEVASTOPOLE 106:104
NUKUSU-SEVASTOPOLE 31:28
ALATAU-SEVASTOPOLE 82:106
BELOSTOKA-GREITSLEIVLEIKS 1:139
KULAUTUVA-GREITSLEIVLEIKS 149:116
KINGSTONA-GREITSLEIVLEIKS 26:119
SENTLUISA-GREITSLEIVLEIKS 32:1
SINSITIJA-GREITSLEIVLEIKS 36:82
MANHATANA-GREITSLEIVLEIKS 45:66
MENHETENA-GREITSLEIVLEIKS 62:148
FOLKSTONA-GREITSLEIVLEIKS 77:9
HAMILTONA-GREITSLEIVLEIKS 98:53
LEJASSTRAZDI-SAULESKALNS 144:103
KANZASSITIJA-SAULESKALNS 48:123
PONAKSTEETLS-SAULESKALNS 76:79
GREITSLEIVLEIKS-LIZUMS 6:22
KANZASSITIJA-TBILISI 105:97
PONAKSTEETLS-TBILISI 126:125
LEJASSTRAZDI-TBILISI 95:37
TORONTO-SKAISTKALNE 2:10
TARENTO-SKAISTKALNE 47:138
ARARATS-SKAISTKALNE 47:65
ARARATS-ZILAISKALNS 0:144
EIFRATA-ZILAISKALNS 102:105
VAINUTA-SAULESKALNS 102:73
TARENTO-SAULESKALNS 102:9
PEIPUSS-ZILAISKALNS 103:120
PEIPUSS-SAULESKALNS 104:149
ERFURTE-ZILAISKALNS 105:116
BEIRUTA-ZILAISKALNS 105:57
DONBASS-ZILAISKALNS 113:5
DONBASS-SAULESKALNS 114:144
ELBRUSS-ZILAISKALNS 119:144
TOLJATI-SAULESKALNS 12:52
PRIPETE-SAULESKALNS 124:118
EIFRATA-SAULESKALNS 124:81
KALKUTA-SAULESKALNS 125:91
ELBRUSS-SAULESKALNS 128:20
LAPLATA-ZILAISKALNS 131:145
KAUNATA-ZILAISKALNS 131:65
TORONTO-SAULESKALNS 133:54
BIZERTA-SAULESKALNS 134:10
ATLANTA-ZILAISKALNS 135:1
BEIRUTA-SAULESKALNS 140:68
AIZPUTE-SAULESKALNS 141:53
TRIESTE-SAULESKALNS 142:90
VORKUTA-SAULESKALNS 145:51
VALLETA-ZILAISKALNS 146:88
KUZBASS-ZILAISKALNS 147:3
TARENTO-ZILAISKALNS 149:108
BIZERTA-ZILAISKALNS 18:113
DUBULTI-ZILAISKALNS 2:133
VORKUTA-ZILAISKALNS 23:135
TORONTO-ZILAISKALNS 24:27
KUVEITA-ZILAISKALNS 28:11
TOLJATI-ZILAISKALNS 36:73
ATLANTA-SAULESKALNS 37:74
UTREHTA-ZILAISKALNS 39:2
DUBULTI-SAULESKALNS 42:60
KUVEITA-SAULESKALNS 45:5
PRIPETE-ZILAISKALNS 47:100
VALLETA-SAULESKALNS 47:137
ERFURTE-SAULESKALNS 5:21
KARPATI-ZILAISKALNS 50:33
LAPLATA-SAULESKALNS 53:39
KUMPOTE-ZILAISKALNS 54:89
VAINUTA-ZILAISKALNS 56:100
PLIMUTA-ZILAISKALNS 57:143
KUMPOTE-SAULESKALNS 59:150
SALANTA-ZILAISKALNS 59:61
PLIMUTA-SAULESKALNS 64:69
MACESTA-SAULESKALNS 67:82
TRIESTE-ZILAISKALNS 68:75
KARPATI-SAULESKALNS 69:110
KALKUTA-ZILAISKALNS 70:116
DORSETA-SAULESKALNS 71:38
SALANTA-SAULESKALNS 72:149
MACESTA-ZILAISKALNS 78:58
UTREHTA-SAULESKALNS 85:3
AIZPUTE-ZILAISKALNS 87:93
KAUNATA-SAULESKALNS 88:145
KUZBASS-SAULESKALNS 90:85
ARARATS-SAULESKALNS 94:104
DORSETA-ZILAISKALNS 99:132
ZILAISKALNS-ENGELSA 127:135
SKAISTKALNE-ENGELSA 134:143
JUGLASCIEMS-ENGELSA 138:143
MURMASTIENE-ENGELSA 17:18
SEVASTOPOLE-ENGELSA 32:31
SAULESKALNS-ENGELSA 44:75
KONEKTIKUTA-ENGELSA 69:100
KESONSITIJA-ENGELSA 74:54
SEVASTOPOLE-DUBULTI 15:119
SKAISTKALNE-DUBULTI 67:102
KONEKTIKUTA-DUBULTI 9:15
SEVASTOPOLE-HAMILTONA 109:71
GREITSLEIVLEIKS-LUCAVSALA 137:126
GREITSLEIVLEIKS-LUGANSKA 25:4
GREITSLEIVLEIKS-MADRASA 46:98
GREITSLEIVLEIKS-MANAUSA 16:103
KANZASSITIJA-KANZASA 137:79
PONAKSTEETLS-KANZASA 71:94
BUENOSAIRESA-KANZASA 83:26
LEJASSTRAZDI-KANZASA 88:97
LEJASSTRAZDI-KANZASSITIJA 19:70
PONAKSTEETLS-KANZASSITIJA 39:79
LEJASSTRAZDI-MURMASTIENE 126:41
MAPUTU-LEJASSTRAZDI 130:85
ALATAU-LEJASSTRAZDI 20:3
NUKUSU-LEJASSTRAZDI 83:43
GREITSLEIVLEIKS-MEMFISA 104:106
GREITSLEIVLEIKS-ZILAISKALNS 145:31
GREITSLEIVLEIKS-MORICSALA 87:134
ZILAISKALNS-LIZUMS 103:126
MURMASTIENE-TUKUMS 105:48
KESONSITIJA-LIZUMS 106:63
KONEKTIKUTA-TUKUMS 109:150
SEVASTOPOLE-TUKUMS 122:145
ZILAISKALNS-TUKUMS 124:45
SKAISTKALNE-LIZUMS 128:66
SAULESKALNS-LIZUMS 139:121
MAPUTU-JUGLASCIEMS 139:98
NUKUSU-JUGLASCIEMS 141:65
KESONSITIJA-TUKUMS 147:55
MURMASTIENE-LIZUMS 46:107
JUGLASCIEMS-LIZUMS 48:141
JUGLASCIEMS-TUKUMS 67:70
KONEKTIKUTA-LIZUMS 71:61
SKAISTKALNE-TUKUMS 77:54
ALATAU-JUGLASCIEMS 77:82
SAULESKALNS-TUKUMS 79:126
SEVASTOPOLE-LIZUMS 81:15
HOLIVUDA-FOLKSTONA 116:129
VAGADUGU-FOLKSTONA 132:52
HOLIVUDA-HAMILTONA 34:44
HOLIVUDA-MENHETENA 50:63
VAGADUGU-MENHETENA 53:50
VAGADUGU-HAMILTONA 60:138
VAGADUGU-KINGSTONA 62:105
HOLIVUDA-MANHATANA 83:72
KRAKATAU-MANHATANA 87:143
HOLIVUDA-KINGSTONA 87:67
VAGADUGU-MANHATANA 94:89
NUKUSU-SKAISTKALNE 111:59
ALATAU-MURMASTIENE 12:115
NUKUSU-MURMASTIENE 21:10
ALATAU-SKAISTKALNE 43:132
MAPUTU-SKAISTKALNE 47:114
MAPUTU-MURMASTIENE 88:6
GREITSLEIVLEIKS-NEBRASKA 149:106
HOLIVUDA-SANANTONIO 101:93
VAGADUGU-SANANTONIO 47:90
PONAKSTEETLS-BUENOSAIRESA 31:32
KANZASSITIJA-BUENOSAIRESA 56:147
LEJASSTRAZDI-BUENOSAIRESA 93:22
MAPUTU-ZILAISKALNS 105:72
ALATAU-SAULESKALNS 138:140
NUKUSU-ZILAISKALNS 25:28
NUKUSU-SAULESKALNS 34:40
ALATAU-ZILAISKALNS 74:113
MAPUTU-SAULESKALNS 92:94
SEVASTOPOLE-VALENSIJA 108:143
KESONSITIJA-VALENSIJA 115:12
ZILAISKALNS-VALENSIJA 115:148
SAULESKALNS-VALENSIJA 128:102
MURMASTIENE-VALENSIJA 22:45
SKAISTKALNE-VALENSIJA 54:46
KONEKTIKUTA-VALENSIJA 82:75
SAULESKALNS-KESONSITIJA 10:114
MURMASTIENE-KESONSITIJA 117:81
SKAISTKALNE-KESONSITIJA 41:115
KONEKTIKUTA-KESONSITIJA 63:92
ZILAISKALNS-KESONSITIJA 65:145
SEVASTOPOLE-KESONSITIJA 74:141
ZILAISKALNS-BRJANSKA 10:39
SEVASTOPOLE-BRJANSKA 106:60
SEVASTOPOLE-SARANSKA 113:47
KONEKTIKUTA-LUGANSKA 118:142
SKAISTKALNE-SARANSKA 124:136
MURMASTIENE-SARANSKA 134:131
ZILAISKALNS-LUGANSKA 140:136
MURMASTIENE-BRJANSKA 149:44
KONEKTIKUTA-BRJANSKA 15:122
KONEKTIKUTA-SARANSKA 18:116
MURMASTIENE-LUGANSKA 18:7
SKAISTKALNE-LUGANSKA 22:120
SAULESKALNS-BRJANSKA 25:94
SAULESKALNS-LUGANSKA 33:59
SEVASTOPOLE-LUGANSKA 38:133
SAULESKALNS-SARANSKA 4:98
SKAISTKALNE-BRJANSKA 48:8
ZILAISKALNS-SARANSKA 51:118
KONEKTIKUTA-ATLANTA 104:46
SKAISTKALNE-SALANTA 138:51
SEVASTOPOLE-ATLANTA 46:43
KONEKTIKUTA-SALANTA 57:120
SKAISTKALNE-ATLANTA 62:106
SEVASTOPOLE-SALANTA 97:42
SEVASTOPOLE-TORONTO 48:76
SEVASTOPOLE-TARENTO 71:108
SEVASTOPOLE-SANANTONIO 95:97
LEJASSTRAZDI-TAUNUSA 1:145
KANZASSITIJA-TAUNUSA 115:93
PONAKSTEETLS-TAUNUSA 123:137
BUENOSAIRESA-TAUNUSA 57:117
HAMILTONA-TARENTO 105:0
FOLKSTONA-TARENTO 11:67
KINGSTONA-TORONTO 111:72
SENTLUISA-TORONTO 125:81
BELOSTOKA-TARENTO 13:75
MAPUTU-SANANTONIO 132:103
FOLKSTONA-TORONTO 136:150
KULAUTUVA-TARENTO 145:83
KULAUTUVA-TORONTO 20:59
SENTLUISA-TARENTO 33:140
NUKUSU-SANANTONIO 39:44
HAMILTONA-TORONTO 53:129
ALATAU-SANANTONIO 61:114
BELOSTOKA-TORONTO 83:139
KINGSTONA-TARENTO 90:117
KULAUTUVA-BELOSTOKA 1:106
SENTLUISA-BELOSTOKA 25:41
HAMILTONA-BELOSTOKA 54:75
FOLKSTONA-BELOSTOKA 56:146
KINGSTONA-BELOSTOKA 79:5
ARARATS-SEVASTOPOLE 146:42
SENTLUISA-KINGSTONA 108:37
SENTLUISA-FOLKSTONA 112:127
KULAUTUVA-FOLKSTONA 112:34
HAMILTONA-FOLKSTONA 123:149
SENTLUISA-HAMILTONA 13:131
KINGSTONA-HAMILTONA 146:136
KULAUTUVA-KINGSTONA 49:90
KINGSTONA-FOLKSTONA 62:138
KULAUTUVA-HAMILTONA 83:125
SENTLUISA-SANANTONIO 54:136
KULAUTUVA-SANANTONIO 94:8
PONAKSTEETLS-KESONSITIJA 112:58
KANZASSITIJA-KESONSITIJA 46:82
LEJASSTRAZDI-KESONSITIJA 83:94
SENTLUISA-SEVASTOPOLE 20:132
KULAUTUVA-SEVASTOPOLE 47:10
SAULESKALNS-KINROSA 10:64
MURMASTIENE-KINROSA 11:4
SKAISTKALNE-KINROSA 113:106
JUGLASCIEMS-KINROSA 129:85
ZILAISKALNS-KINROSA 145:18
KESONSITIJA-KINROSA 2:83
KONEKTIKUTA-KINROSA 59:92
SEVASTOPOLE-KINROSA 6:75
JUGLASCIEMS-BUENOSAIRESA 106:55
SAULESKALNS-BUENOSAIRESA 26:106
KESONSITIJA-BUENOSAIRESA 33:70
KONEKTIKUTA-BUENOSAIRESA 38:81
MURMASTIENE-BUENOSAIRESA 46:73
SEVASTOPOLE-BUENOSAIRESA 53:96
ZILAISKALNS-BUENOSAIRESA 72:148
SKAISTKALNE-BUENOSAIRESA 83:75
KESONSITIJA-SANHOSE 105:24
ZILAISKALNS-SANHOSE 126:145
SEVASTOPOLE-SANHOSE 27:64
SKAISTKALNE-SANHOSE 51:63
SAULESKALNS-SANHOSE 68:149
KONEKTIKUTA-SANHOSE 74:12
MURMASTIENE-SANHOSE 88:27
KONEKTIKUTA-FEODOSIJA 13:55
SEVASTOPOLE-FEODOSIJA 16:131
MURMASTIENE-FEODOSIJA 2:84
KESONSITIJA-FEODOSIJA 35:91
SKAISTKALNE-FEODOSIJA 52:35
ZILAISKALNS-FEODOSIJA 57:17
SAULESKALNS-FEODOSIJA 9:39
KONEKTIKUTA-KUMPOTE 149:85
SKAISTKALNE-KUMPOTE 55:111
SEVASTOPOLE-KUMPOTE 83:116
